headline,link,date,content
RBI ups domestically-held gold by another 102 metric tonnes in Apr-Sep,https://economictimes.indiatimes.com/news/economy/finance/rbi-ups-domestically-held-gold-by-another-102-metric-tonnes-in-apr-sep/articleshow/114736908.cms,29-10-2024,"The Reserve Bank of India (
RBI
) added another 102 metric tonnes to the
domestically held gold
in the April-September period, as per a disclosure made on Tuesday. The overall quantity of the precious metal stored in local safes stood at 510.46 metric tonnes as of September 30, which was up from over 408 metric tonnes as on March 31, 2024.
The central bank said it added another 32 metric tonnes of
gold reserves
in the six-month period to take the overall tonnage to 854.73 metric tonnes, as per the half yearly report on management of
foreign exchange reserves
.
India has been gradually moving gold reserves to local vaults -- said to be located in the financial capital and Nagpur -- over the past few years. In FY24, it had moved 100 metric tonnes more from the UK to domestic locations.
The movement of the commodity, happening at time of increased geopolitical tensions globally, was said to be one of the biggest movements of gold undertaken by India since 1991, when it had to pledge a substantial part of the gold holding to tide over a foreign exchange crisis that resulted in its movement out of vaults.
The RBI disclosure said 324.01 metric tonnes of gold were kept in safe custody with the Bank of England and the bank for international settlements (BIS) and 20.26 metric tonnes were held in the form of gold deposits.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
In value terms, the share of gold in the total foreign exchange reserves increased from 8.15 per cent as at end-March 2024 to about 9.32 per cent as at end-September 2024 on the back of an increase in tonnage and also the surge in prices.
As of March this year, 413.79 metric tonnes of gold was held abroad, as per an RBI annual report.
In late May, sources had indicated that a call was taken to reduce the holding abroad that is part of the standard review procedures.
In 2009, India had bought 200 tonnes of gold from the International Monetary Fund (IMF), after which it has been buying the precious commodity from the secondary market as part of its foreign exchange asset diversification efforts.
Typically, officials from the Ministry of Finance, the RBI and other agencies take care of the movement of gold in complete secrecy given the high value, as per the sources.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
I-T dept notifies tolerance range for AY25 for transfer pricing cases,https://economictimes.indiatimes.com/news/economy/finance/i-t-dept-notifies-tolerance-range-for-ay25-for-transfer-pricing-cases/articleshow/114729868.cms,29-10-2024,"The
income tax department
has notified the
tolerance range
for variation between
arm's length price
and
transfer pricing
for international and specified domestic transactions for Assessment Year 2024-25. The range has been retained at the same level as last year's -- one per cent for ""
wholesale trading
"" and three per cent for all other taxpayers, the
Central Board of Direct Taxes
(CBDT) said.
The term 'wholesale trading' will be defined as an international transaction or specified domestic transaction of trading in goods subject to certain conditions.
""The notification of tolerance range shall provide certainty to taxpayers and reduce the risk perception associated with the pricing of a transaction in transfer pricing,"" the CBDT said in a statement.
The 'tolerance range' means that if the arm's length price varies up to one per cent of the transaction price for wholesale trading and three per cent for other taxpayers, then the transaction price would be the arm's length price under the transfer pricing rules.
Under
tax laws
, transfer pricing refers to the pricing of the goods and services that are exchanged between related companies.
Live Events
Arm's length price refers to the price which is applied in a transaction between entities other than related parties.
Nangia & Co LLP Partner - Transfer Pricing Nitin Narang said the recently notified tolerance range for transfer pricing is applicable for cases where arithmetical mean is considered for computation of arm's length price/ margin.
""The notification of tolerance range also suggested that it shall provide certainty to taxpayers and reduce the risk perception associated with pricing of a transaction in transfer pricing. Similar to preceding years, no specific reason or clarification is given in relation to why a different tolerance limit is set for wholesale traders and others, and how the range of 3 per cent has been determined,"" Narang added.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
RBI fixes Rs 300 cr net worth criteria for entities applying for central counterparty,https://economictimes.indiatimes.com/news/economy/finance/rbi-fixes-rs-300-cr-networth-criteria-for-entities-applying-for-central-counterparty/articleshow/114698183.cms,28-10-2024,"Mumbai: The Reserve Bank on Monday said an entity seeking authorisation or recognition as a
Central Counterparty
(CCP) should have a minimum networth of Rs 300 crore at the time of submitting its application. CCP means a system provider by way of novation interposes between system participants in the transactions admitted for settlement. CCP becomes the buyer to every seller and the seller to every buyer for the purpose of effecting settlement of their transactions.
The central bank on Monday updated its June 2019 norms for Central Counterparties.
According to the revised directions, every
authorised CCP
has to submit an audited networth certificate as at close of
financial year
from the statutory auditor within six months of the closure of the financial year.
Further, the authorised CCP should be a
public company
limited by shares.
""The shares of an authorised CCP shall be held by persons who are users of the authorised CCP. If a person ceases to be a user, the CCP shall ensure that the person's shares are divested,"" the
RBI
said.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
The central banks said a foreign CCP should apply to the RBI for approval as a recognised CCP for its operations including clearing and settlement in India.
Also, every authorised CCP should constitute a regulatory compliance committee chaired by an independent director.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Madhya Pradesh CM announces to increases dearness allowance of state govt's employees ahead of Diwali,https://economictimes.indiatimes.com/news/economy/finance/madhya-pradesh-cm-announces-to-increases-dearness-allowance-of-state-govts-employees-ahead-of-diwali/articleshow/114682717.cms,28-10-2024,"Madhya Pradesh
Chief Minister
Mohan Yadav
extended greetings to all the employees of the state government on the occasion of Diwali and announced to increase their
Dearness Allowance
(DA) ahead of the festival on Monday.
CM Yadav said that it is the government's responsibility to take care of the employees of the state. Dearness allowance would be increased by 4 percent from January 1, 2024 and would be given at the rate from 46 to 50 per cent to the employees of the state government.
""I extend my wishes to all the employees of the state on the occasion of Diwali. The state government has made a decision to increase the dearness allowance of all the employees. I congratulate everyone. The congratulation gets doubled as there are two occasions Diwali as well as foundation day of Madhya Pradesh. On November 1, 1956 Madhya Pradesh was formed and we are working to take the state and country forward,"" CM Yadav said.
""I extended my congratulations to all our employees; they work with dedication, hard work and positive approach and with this they have made their identity among the employees across the country. Therefore, it is the responsibility of the state government to take care of the employees. 46% dearness allowance has been approved and has been made effective since July 1, 2023. Arrears have been given in instalments. Now from January 1, 2024, dearness allowance will be given at the rate of 50 per cent to all the employees of the state government,"" the CM added.
In a post on X, CM Yadav wrote, ""I extend my greetings and best wishes to all the employees of Madhya Pradesh government on the occasion of Diwali. I am happy to inform you that we have decided to increase the DA by 4 percent, which will increase the current DA payable from 46 percent to 50 per cent. Dearness Allowance will be given to the government employees at the rate of 50 percent from January 1, 2024. Arrears will be paid in four equal instalments in this financial year. Earlier, the increased rate of dearness allowance was made effective from July 1, 2023, the arrears of which have also been paid in instalments.""
Live Events
""Your hard work and dedication has taken Madhya Pradesh towards a better future. Also, on November 1, we are preparing for Madhya Pradesh Foundation Day, which is going to add flavours in the Diwali festival. This day reminds us of the establishment of our state and our glorious past. I am grateful for your contribution to the progress and development of the state,"" he further wrote.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Capex loan to states may be 20% lower than Budget estimates,https://economictimes.indiatimes.com/news/economy/finance/capex-loan-to-states-may-be-20-lower-than-budget-estimates/articleshow/114662494.cms,27-10-2024,"New Delhi: The government expects disbursement of interest-free, long-term loans to states for capital expenditure to be 15-20% lower than the
budget
estimate for fiscal 2025, because general elections had dragged down spending in the first half of the year.
The government in the July budget had sanctioned ₹1.5 lakh crore under the Scheme for Special Assistance to States for Capital Expenditure. However, in the first half of the fiscal year, projects worth only ₹50,069 crore were approved. It may now lower the allocation to ₹1.30-1.35 lakh crore in the revised estimate, a senior official told ET.
""Because of general elections in the first half, states may not be able to utilise the complete amount and we see only 80-85% of the utilisation of funds,"" the official said.
The government is nudging states to increase their spending in the second half, but it may not match up the pace required to fully utilise the budgeted amount.
Pre-budget meetings to finalise revised estimates for FY25 are ongoing and will conclude by November 11. Under the scheme, the Centre extends 50-year loans to states to boost their durable assets creation. States are required to undertake stipulated reform measures to obtain a part of the
capex
loans that are conditional in nature. The Centre had increased the budgetary allocation under the scheme to ₹1.5 lakh crore for this fiscal year from ₹1.05 lakh crore last fiscal year.
Live Events
Out of this, ₹55,000 crore is unconditional loan, while disbursement of the remaining ₹95,000 crore is tied to different conditions including industrial growth, land reforms and capex growth by states.
Out of ₹95,000 crore conditional loan, the official said ₹25,000 crore is linked to capex achievement by states.
States will get 50% of the corresponding share if they have reported capex growth of 10% or more in FY24. For the remaining 50%, they must achieve 10% capex growth this fiscal year. State capex had been slow in the first half of this year.
Earlier this month, finance minister Nirmala Sitharaman asked expenditure secretary Manoj Govil to coordinate with states to expedite the submission and approval of project proposals and ensure that they undertake capital investments in a timely and efficient manner.
The Centre had initially allocated ₹1.30 crore for FY24, but it was slashed in the interim budget by 19% to ₹1.05 lakh crore.
This was because states like Andhra Pradesh, Kerala and Punjab did not receive any funds in FY24 as they did not fulfil the conditions or failed to fully spend the amounts allocated to them in the previous fiscal year under the scheme.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Gold helps hold up forex reserves,https://economictimes.indiatimes.com/news/economy/finance/gold-helps-hold-up-forex-reserves/articleshow/114659783.cms,29-10-2024,"The Reserve Bank has added 31.6 tonnes to its stock of gold since the beginning of the fiscal. The volumes are up 4% over the levels as of March 31.
The outstanding stock of RBI’s
gold reserves
stands at 853.6 metric tonnes as of September 30. The incremental value of gold added to the reserves on account of new purchases and valuation of existing stock is about $12.7 billion or almost one-third of the $39 billion added to reserves this fiscal.
Agencies
The RBI started buying gold from the markets in December 2017. The central bank has become more active in the last two to three years, particularly after the war between Ukraine and Russia early this year.
The RBI and the Chinese central bank are reckoned to be active buyers of gold in the international markets. The 25% rise in
gold prices
since April has helped the central bank hold up the reserves despite the outflow of portfolio flows
(You can now subscribe to our
Economic Times WhatsApp channel
)"
CBDT extends ITR filing deadline for corporates to November 15,https://economictimes.indiatimes.com/news/economy/finance/cbdt-extends-itr-filing-deadline-for-corporates-to-november-15/articleshow/114631080.cms,26-10-2024,"The deadline for corporate income tax returns filing for assessment year 2024-25 has been extended by 15 days to November 15.
The
Central Board of Direct Taxes
' Saturday notification, however, said the extension does not apply to
tax audit reports
,
transfer pricing certification
and other forms. The deadline for these continues to be October 31.
Industry experts welcomed the move, saying it will reduce stress during the festive season. ""This extension allows taxpayers and professionals to prioritise accuracy and compliance,"" said
Rajat Mohan
, senior partner at AMRG & Associates.
Sandeep Jhunjhunwala, tax partner at
Nangia Andersen LLP
, said: ""It is crucial, however, to take note that this extension would not apply to tax audit report, transfer pricing certification in form 3CEB and other income tax forms such as Form 10DA, which would still remain due on October 31, 2024.""
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Govt extends ITR filing deadline for corporates by 15 days till November 15,https://economictimes.indiatimes.com/news/economy/finance/government-extends-itr-filing-deadline-for-corporates-by-15-days-till-november-15/articleshow/114612415.cms,26-10-2024,"The Central Board of Direct Taxes (
CBDT
) on Saturday extended the deadline for corporates to file income tax returns for the Assessment Year (AY) 2024-25.
The Ministry of Finance said that corporates now have until November 15, 2024, to submit their income tax returns, an extension from the original deadline of October 31, 2024.
The extension applies to taxpayers covered under sub-Section (1) of Section 139 of the Income-tax Act, 1961, it said in a media release.
Notably, the extension comes after the government extended the deadline to submit tax audit report to October 7, 2024, from the initial deadline of September 30, 2024.
The income tax law requires certain taxpayers to conduct an income tax audit and submit the report by September 30 of the assessment year.
Live Events
Nangia Andersen LLP Tax Partner Sandeep Jhunjhunwala told PTI this extension would not apply to the Tax Audit Report, transfer pricing certification in Form 3CEB and other income tax forms like Form 10DA, for which the deadline would remain October 31, 2024.
AMRG & Associates Senior Partner Rajat Mohan said the CBDT's decision to extend the deadline for filing income tax returns for AY 2024-25, though not accompanied by an official explanation, seems aligned with the upcoming festive season.
""By extending the deadline to November 15, 2024, taxpayers and professionals alike can prioritise accuracy and compliance without the stress of last-minute filings amidst celebrations,"" PTI quoted Mohan as saying.
Jhunjhunwala said, ""This targeted extension seeks to facilitate compliance during a peak period while upholding the timely submission of critical audit documentation"".
(With inputs from PTI)
(You can now subscribe to our
Economic Times WhatsApp channel
)"
RBI injects funds to rein in bank funding costs amid forex outflows,https://economictimes.indiatimes.com/news/economy/finance/rbi-injects-funds-to-rein-in-bank-funding-costs-amid-forex-outflows/articleshow/114598548.cms,26-10-2024,"Mumbai: The Reserve Bank of India's move on Friday to inject funds into the banking system despite the prevalence of a headline
liquidity surplus
reflects an adroit strategy by the central bank to ensure that recent overseas outflows from local capital markets and festival-related cash withdrawals do not drive up banks' cost of funds, analysts said.
The
RBI
's provision of a short-term liquidity window on Friday comes around two weeks after the central bank shifted its stance of monetary policy to neutral from one of withdrawal of accommodation. Money market experts broadly were of the view that the neutral stance, which provides the option for rates to be lowered or raised, signalled more central bank tolerance of easier liquidity conditions than the stance of withdrawal.
On Friday, the RBI infused funds worth Rs 25,000 crore through a
Variable Rate Repo
(VRR) auction, the first such operation since September 24 when a combination of quarterly advance tax outflows and goods and services tax payments had drained the system of funds. At Friday's auction, the RBI received bids worth Rs 48,700 crore from banks versus the notified amount of Rs 25,000 crore, reflecting the need for funds from lenders.
ET Bureau
""This appears like a fine-tuning exercise because headline liquidity as on October 24 is still in surplus. The reason is maybe because over the last few weeks, there has been some amount of pressure in the currency market, and it is likely that the RBI would have intervened,"" said Vivek Kumar, economist, Quanteco Research.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
""The second aspect is that some part of the recent decline in liquidity surplus is because of the GST outflows while the third reason is that we are entering the Diwali phase which is typically a phase of very cash-heavy demand,"" he said.
With
foreign portfolio investors
having pulled out funds worth a record $9.6 billion, or Rs 80,954 crore, from Indian equity markets so far in October, the rupee has faced pressure, weakening past the 84/$1 mark for the first time earlier this month. The pace of depreciation in the currency, however, has been contained, likely due to interventions by the RBI in the form of dollar sales, analysts said. The RBI's stated position is that it intervenes in the currency market to prevent excess volatility in the exchange rate.
India's
foreign exchange reserves
fell by another $2.163 billion in the week ending October 18 to $688.26 billion. This is the third week in a row that the forex reserves fell - cumulatively by $16.61 billion from the all-time high of $704.88 billion, according to RBI data.
Dollar sales by the RBI drain the banking system of rupee liquidity. On Wednesday, surplus liquidity in the banking system - as measured by absorption of funds by the RBI - dropped to a one-month low of Rs 57,428.30 crore, central bank data showed. The shrinking cash surplus with banks pushed up the weighted average call rate (WACR) to 6.75% on Wednesday, 25 basis points higher than the repo rate of 6.50%.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Is there a chink in India's industrial armour? RBI MPC's Nagesh Kumar explains why a 25-bps rate cut is needed,https://economictimes.indiatimes.com/news/economy/finance/is-there-a-chink-in-indias-industrial-armoury-rbi-mpcs-nagesh-kumar-explains-why-a-25-bps-rate-cut-is-needed/articleshow/114508448.cms,23-10-2024,"The RBI-led
Monetary Policy Committee
's new member,
Nagesh Kumar
, has expressed concerns over the ongoing demand deficits in both, domestic and international markets, in the minutes of the October meeting, released on Wednesday. Kumar attributed the slowdown to the lack of momentum in
private investment
.
He noted that despite companies having healthy balance sheets and the numerous reforms and incentives provided by the government, private investment is yet to gain momentum.
According to Kumar, weak demand is a major factor, contributing to the overall sluggishness in the manufacturing and industrial sectors. This demand slowdown has been evident in India’s export figures, which have shrunk by 9.3 per cent in August, as well as in the broader domestic market where core sectors such as cement, iron, steel, and chemicals have reported negative growth.
Kumar, who was the sole MPC member advocating for a 25 basis point
rate cut
in the latest meeting, opined that the weak demand is holding back the investment recovery.
A call for rate cuts
Given the current inflationary trends and the flagging demand in both domestic and export markets, Kumar argued that it is an opportune moment for the
RBI
to begin normalising monetary policy by cutting interest rates. He cautioned that if India does not follow the global trend of rate cuts, the rupee could appreciate further, potentially harming the competitiveness of Indian exports.
Live Events
Citing the successful anchoring of inflation expectations, Kumar advocated for a 25 basis point cut in the repo rate to help revive demand and boost private investment.
Kumar highlighted that while India remains the fastest-growing large economy globally, with relatively low inflation, exchange rate stability, and substantial foreign exchange reserves, emerging trends are indicating a potential economic slowdown.
Economic growth is projected to decelerate from 8.2 per cent in 2023-24 to 6.7 per cent in the first quarter of 2024-25. Despite the government’s infrastructure push through record capital expenditure, private investment has not responded as hoped, partly due to the higher cost of capital since the RBI started raising policy rates in March 2022.
Kumar also mentioned that general economic conditions, according to various surveys, have worsened compared to a year ago, with moderating business sentiment and demand across major manufacturing sectors. The Consumer Confidence Survey and the PMI for manufacturing also indicate weaknesses in both domestic and external demand, contributing to the overall slowdown.
Views on 'slowbalisation', 'China+1' strategy
Despite the challenges, Kumar identified an opportunity for India in the global shift towards diversifying supply chains, commonly referred to as the China+1 strategy.
As per the member, the disruptions caused by the pandemic have prompted global companies to reduce their reliance on China, and India could capitalise on this trend if it improves its investment climate, logistics, and cost of doing business.
Kumar pointed to
Apple
’s decision to expand iPhone production in India through its vendors like Foxconn as an example of this opportunity in action.
However, he warned that India must remain vigilant in maintaining its competitiveness, particularly in the face of growing protectionism and trade wars in the West. Large excess industrial capacities in China, combined with trade barriers, could pose significant challenges to India’s efforts to grow its manufacturing sector.
""The rise of protectionism in the West, trade wars, and the collapse of multilateral trade negotiations have turned globalization into ‘slowbalization.’ The situation is complicated further, especially for India, by large excess industrial capacities sitting next door in China, with access to the Western markets made more difficult, and the threat of predatory dumping in our markets is real,"" he stated.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
